Ehrenberg__Reutte,Reutte,NULL,NULL,NULL,not checked yet,NULL,Ehrenberg
Ehrenberg__Vils,Vils,NULL,NULL,NULL,not checked yet,NULL,Ehrenberg
Ehrenberg__Vinschgau,Vinschgau,NULL,NULL,NULL,not checked yet,NULL,Ehrenberg
Enneberg__Abtei,Abtei,3182585,"46,60816","11,8963",not checked yet,NULL,Enneberg
Enneberg__Abtei od. St. Vigil,Abtei od. St. Vigil,3182585,"46,60816","11,8963",not checked yet,Italy,Enneberg
Enneberg__Bach ,Bach ,NULL,NULL,NULL,not checked yet,NULL,Enneberg
Enneberg__St. Martin,JimmiXS,NULL,NULL,NULL,Vi3nvk http://www.FyLitCl7Pf7kjQdDUOLQOuaxTXbj5iNG.com,Germany,Enneberg
Enneberg__St. Vigil,St. Vigil,NULL,NULL,NULL,not checked yet,NULL,Enneberg
Enneberg__Zwischenwasser,Zwischenwasser,NULL,NULL,NULL,not checked yet,NULL,Enneberg
Fügen__Fügen,Fügen,NULL,NULL,NULL,not checked yet,NULL,Fügen
Fügen__Mörz,Mörz,NULL,NULL,NULL,not checked yet,NULL,Fügen
Fügen__Niederhart,Niederhart,NULL,NULL,NULL,not checked yet,NULL,Fügen
Fügen__Ponkratzenb.,Ponkratzenb.,NULL,NULL,NULL,not checked yet,NULL,Fügen
Fügen__Stumm,Stumm,NULL,NULL,NULL,not checked yet,NULL,Fügen
Fügen__Stummerberg,Stummerberg,NULL,NULL,NULL,not checked yet,NULL,Fügen
Glurns__Laatsch,Laatsch,NULL,NULL,NULL,not checked yet,NULL,Glurns
Glurns__Lichtenberg,Lichtenberg,NULL,NULL,NULL,not checked yet,NULL,Glurns
Glurns__Mals,Mals,NULL,NULL,NULL,not checked yet,NULL,Glurns
Glurns__Matsch,Matsch,NULL,NULL,NULL,not checked yet,NULL,Glurns
Glurns__Schleis,Schleis,NULL,NULL,NULL,not checked yet,NULL,Glurns
Glurns__Schluderns,Schluderns,NULL,NULL,NULL,not checked yet,NULL,Glurns
Gossensaß__Gossensaß (laut Sterebuch),Gossensaß (laut Sterebuch),NULL,NULL,NULL,not checked yet,NULL,Gossensaß
Gossensaß__Mauls,Mauls,NULL,NULL,NULL,not checked yet,NULL,Gossensaß
Gossensaß__Pontigl,Pontigl,NULL,NULL,NULL,not checked yet,NULL,Gossensaß
Gossensaß__unbekannt,unbekannt,NULL,NULL,NULL,not checked yet,NULL,Gossensaß
Hall__Gnadenwald,Gnadenwald,NULL,NULL,NULL,not checked yet,NULL,Hall
Hofpgarten__Brixen,Brixen,2781394,"47,45","12,25",not checked yet,Austria,Hofpgarten
Hofpgarten__Hopfgarten,Hopfgarten,NULL,NULL,NULL,not checked yet,NULL,Hofpgarten
Hofpgarten__Kirchberg,JimmiXS,NULL,NULL,NULL,qXsHhq http://www.FyLitCl7Pf7kjQdDUOLQOuaxTXbj5iNG.com,Italy,Hofpgarten
Hofpgarten__Reith Lg. Kitzbühel,Reith Lg. Kitzbühel,NULL,NULL,NULL,not checked yet,NULL,Hofpgarten
Hofpgarten__Westendorf,Westendorf,NULL,NULL,NULL,not checked yet,NULL,Hofpgarten
Hofpgarten__angebl. Salzburg,angebl. Salzburg,NULL,NULL,NULL,not checked yet,NULL,Hofpgarten
Hofpgarten__unbekannt,unbekannt,NULL,NULL,NULL,not checked yet,NULL,Hofpgarten
Imst__Arzl bei Imst,Arzl bei Imst,7872524,"47,1893","10,76402",not checked yet,Austria,Imst
Imst__Imst,Imst,NULL,NULL,NULL,not checked yet,NULL,Imst
Imst__Pitzthal,Pitzthal,NULL,NULL,NULL,not checked yet,NULL,Imst
Imst__Wenns,Wenns,NULL,NULL,NULL,not checked yet,NULL,Imst
Innsbruck__Berg Isel,JimmiXS,6949521,"47,2467","11,3997",Wv57eG http://www.FyLitCl7Pf7kjQdDUOLQOuaxTXbj5iNG.com,Austria,Innsbruck
Innsbruck__Gericht Nauders,Gericht Nauders,NULL,NULL,NULL,not checked yet,NULL,Innsbruck
Innsbruck__Innsbruck,Innsbruck,NULL,NULL,NULL,not checked yet,NULL,Innsbruck
Innsbruck__unbekannt,unbekannt,NULL,NULL,NULL,not checked yet,NULL,Innsbruck
Innsbruck__von der Kohlstatt,von der Kohlstatt,NULL,NULL,NULL,not checked yet,NULL,Innsbruck
Ischgl__Innerversal /Ischgl,Innerversal /Ischgl,NULL,NULL,NULL,not checked yet,NULL,Ischgl
Kaltern__Girlan,Girlan,NULL,NULL,NULL,not checked yet,NULL,Kaltern
Kaltern__Kaltern,Kaltern,NULL,NULL,NULL,not checked yet,NULL,Kaltern
Karneid__Deutschnofen,Deutschnofen,3172190,"46,41404","11,42523",not checked yet,Italy,Karneid
Karneid__Eggenthal,Eggenthal,NULL,NULL,NULL,not checked yet,NULL,Karneid
Karneid__Karneid,Karneid,NULL,NULL,NULL,not checked yet,NULL,Karneid
Karneid__Petersburg,Petersburg,NULL,NULL,NULL,not checked yet,NULL,Karneid
Karneid__Tiers ,Tiers ,NULL,NULL,NULL,not checked yet,NULL,Karneid
Karneid__Welschnofen,Welschnofen,NULL,NULL,NULL,not checked yet,NULL,Karneid
Kastelruth__Kastelruth,Kastelruth,NULL,NULL,NULL,not checked yet,NULL,Kastelruth
Kastelruth__Obervöls,Obervöls,NULL,NULL,NULL,not checked yet,NULL,Kastelruth
Kastelruth__Ratzens,Ratzens,NULL,NULL,NULL,not checked yet,NULL,Kastelruth
Kastelruth__Runggaditsch,Runggaditsch,NULL,NULL,NULL,not checked yet,NULL,Kastelruth
Kastelruth__Seis,Seis,NULL,NULL,NULL,not checked yet,NULL,Kastelruth
Kastelruth__St. Christian,St. Christian,NULL,NULL,NULL,not checked yet,NULL,Kastelruth
Kastelruth__St. Konstant,St. Konstant,NULL,NULL,NULL,not checked yet,NULL,Kastelruth
Kastelruth__St. Michael,St. Michael,NULL,NULL,NULL,not checked yet,NULL,Kastelruth
Kastelruth__St. Ulrich,St. Ulrich,NULL,NULL,NULL,not checked yet,NULL,Kastelruth
Kastelruth__St. Vigil,St. Vigil,NULL,NULL,NULL,not checked yet,NULL,Kastelruth
Kastelruth__Steg,Steg,NULL,NULL,NULL,not checked yet,NULL,Kastelruth
Kastelruth__Völs,Völs,NULL,NULL,NULL,not checked yet,NULL,Kastelruth
Kastelruth__Wolkenstein,Wolkenstein,NULL,NULL,NULL,not checked yet,NULL,Kastelruth
Kitzbühel__Fieberbrunn,Fieberbrunn,7872556,"47,45099","12,55518",not checked yet,Austria,Kitzbühel
Kitzbühel__Going,Going,2778396,"47,51332","12,33164",not checked yet,NULL,Kitzbühel
Kitzbühel__Kirchdorf,Kirchdorf,2774387,"47,55626","12,44511",not checked yet,Austria,Kitzbühel
Kitzbühel__Kitzbühel,Zaiyah,7872559,"47,44726","12,41496",Notihng I could say would give you undue credit for this story. http://uupvggodk.com [url=http://qpjtnx.com]qpjtnx[/url] [link=http://ztjoxfa.com]ztjoxfa[/link],Austria,Kitzbühel
Kitzbühel__Kössen,Kössen,NULL,NULL,NULL,not checked yet,NULL,Kitzbühel
