1406,Aschbacher,Josef,,1809,12,2,,NULL,handwerker,Taufers__Gais,unknown__Bruneck,gefallen
1407,Pallhuber,Georg,,1809,12,2,,NULL,bauer,Taufers__Antholz,unknown__Bruneck,gefallen
1408,Pallhuber,Peter,,1809,12,2,,NULL,bauer,Taufers__Antholz,unknown__Bruneck,gefallen
1409,Lercher,Josef,,1809,12,2,,NULL,bauer,Taufers__Gais,unknown__Bruneck,gefallen
1410,Wolfsgruber,Michael,,1809,12,2,,NULL,arbeiter,Taufers__Gais,unknown__Bruneck,gefallen
1411,Wolfsgruber,Johann,,1809,12,2,,NULL,geistlicher,Taufers__Ametten,unknown__Bruneck,wunde
1415,Niederrainer,Johann,,1809,12,2,,NULL,arbeiter,Welsberg__Oberrasen,unknown__Bruneck,gefallen
1416,Langkofler,Martin,,1809,12,2,,NULL,arbeiter,Welsberg__Oberrasen,unknown__Bruneck,gefallen
1417,Taschler,Peter,,1809,12,2,,NULL,arbeiter,Welsberg__Oberwielenbach,unknown__Bruneck,wunde
1418,Gaßmayr,Josef,,1809,12,2,,NULL,beamter,Welsberg__Olang,unknown__Bruneck,gefallen
1419,Bodner,Peter,,1809,12,2,,NULL,arbeiter,Welsberg__Olang,unknown__Bruneck,gefallen
1420,Niedermayr,Peter ,,1809,12,2,,NULL,arbeiter,Welsberg__Olang,unknown__Bruneck,gefallen
1421,Mayr,Johann,,1809,12,2,,NULL,arbeiter,Welsberg__Oberrasen,unknown__Bruneck,gefallen
1422,Schöpfer,Georg,,1809,12,2,,NULL,bauer,Welsberg__Mitterolang,unknown__Bruneck,gefallen
1423,Kofler,Peter,,1809,12,2,,NULL,wirt,Welsberg__Oberolang,unknown__Bruneck,gefallen
1424,Neunhäuser,Johann,,1809,12,2,,NULL,bauer,Welsberg__Oberolang,unknown__Bruneck,gefallen
1425,Neunhäuser,Jakob,,1809,12,2,,NULL,bauer,Welsberg__Oberolang,unknown__Bruneck,gefallen
1426,Unterstolz,Josef,,1809,12,2,,NULL,arbeiter,Welsberg__Antholz,unknown__Bruneck,gefallen
1427,Ploner,Martin,,1809,12,2,,NULL,arbeiter,Welsberg__Olang,unknown__Bruneck,gefallen
1428,Moser,Johann ,,1809,8,10,,NULL,bauer,Welsberg__Niederdorf,unknown__Leisach,gefallen
1429,Pitterle,Matthias,,1809,8,10,,NULL,arbeiter,Welsberg__Niederdorf,unknown__Leisach,gefallen
1430,Müller,Thomas,,1809,8,8,,NULL,bauer,Welsberg__Prags,unknown__Aquabona,gefallen
1431,Schönhuber,Johann,,1809,12,1,,NULL,bauer,Welsberg__Prags,unknown__Lienzer Klause,gefallen
1432,Stephaner,Andreas,,1809,12,1,,NULL,arbeiter,Welsberg__Niederdorf,unknown__Lienzer Klause,gefallen
1433,Jäger,Johann,,1810,1,5,,NULL,bauer,Welsberg__Niederdorf,Welsberg__Niederdorf,exekution
1434,Amhof,Nikolaus,,1810,1,9,,NULL,wirt,Welsberg__Pichl,Welsberg__Niederdorf,exekution
1435,Lercher,Anton,,1809,NULL,NULL,,NULL,handwerker,Welsberg__Welsberg,unknown__Mantua,gefang.
1436,Schrafl,Franz,,1809,6,16,,NULL,handwerker,Welsberg__Toblach,unknown__Belluno,gefallen
1437,Pitterle,Johann ,,1809,8,8,,NULL,bauer,Welsberg__Eggerberg,unknown__Aquabona,gefallen
1438,Pichler,Michael,,1809,8,10,,NULL,bauer,Welsberg__Toblach,unknown__Leisach,gefallen
1439,Durnwalder,Bartlmä,46,1810,1,5,,NULL,bauer,Welsberg__Toblach,Welsberg__Toblach,exekution
1440,Rieder,Michael,55,1809,8,8,,NULL,arbeiter,Welsberg__Antholz,unknown__Lienzer Klause,wunde
1441,Antenhofer,Joh.,43,1809,12,2,,NULL,bauer,Welsberg__Antholz,unknown__Bruneck,gefallen
1442,Knoll,Josef,41,1809,12,2,,NULL,arbeiter,Welsberg__Antholz,unknown__Bruneck,gefallen
1443,Meitzger,Georg,42,1809,12,2,,NULL,handwerker,Welsberg__Antholz,unknown__Bruneck,gefallen
1444,Pallhuber,Georg,42,1809,12,2,,NULL,bauer,Welsberg__Antholz,unknown__Bruneck,gefallen
1445,Passler,Simon,,1809,12,2,,NULL,bauer,Welsberg__Antholz,unknown__Bruneck,gefallen
1446,Pallhuber,Peter,27,1809,12,2,,NULL,handwerker,Welsberg__Antholz,unknown__Bruneck,gefallen
1447,Leigeb,Josef,56,1810,1,8,,NULL,bauer,Welsberg__Antholz,unknown__Windschnur,exekution
1448,Mayr,Josef,28,1809,12,2,,NULL,bauer,Welsberg__Olang,unknown__Bruneck,gefallen
1449,Sigmayr,Peter,34,1810,1,14,,NULL,wirt,Welsberg__Mitterolang,Welsberg__Mitterolang,exekution
1450,Ellemund,Josef,,1809,12,1,,NULL,handwerker,Welsberg__Niederrasen,unknown__Bruneck,gefallen
1451,Egger,Josef,,1809,12,2,,NULL,arbeiter,Welsberg__Niederrasen,unknown__Bruneck,gefallen
1452,Obermayr,Jakob,,1809,12,2,,NULL,handwerker,Welsberg__Niederrasen,unknown__Bruneck,gefallen
1453,Lercher,Josef,,1809,12,2,,NULL,arbeiter,Welsberg__Tesselberg,unknown__Bruneck,gefallen
1456,Dallago,Andreas,,1809,8,10,,NULL,bauer,Ampezzo__Zuel,Ampezzo__Zuel,gefallen
1457,Colli,Fulgenz,,1809,8,10,,NULL,bauer,Ampezzo__Coll,Ampezzo__Zuel,gefallen
1458,Coll,Simon,,1809,8,10,,NULL,bauer,Ampezzo__Coll,Ampezzo__Zuel,gefallen
1459,Michieli,Luigi,,1809,8,10,,NULL,bauer,Ampezzo__Campo,Ampezzo__Zuel,gefallen
1460,Ghedina,Johann Anton,,1809,8,10,,NULL,bauer,Ampezzo__Cortina,Ampezzo__Zuel,wunde
1461,Appollonio,Peter,,1809,9,29,,NULL,bauer,Ampezzo__Cortina,unknown__Chiapuzza,gefallen
1462,Alverà,Franz,,1809,9,29,,NULL,bauer,Ampezzo__Cortina,unknown__Chiapuzza,gefallen
1463,Suppiei,Anton,,1809,9,29,,NULL,unbekannt,Ampezzo__Alverà,unknown__Chiapuzza,gefang.
1465,Gruber,Kassian,,1809,12,10,,NULL,bauer,Sillian__Tessenberg,unknown__Lienzer Klause,nahkampf
1466,Hofer,Thomas ,,1809,12,10,,NULL,bauer,Sillian__Kartitsch,unknown__Lienzer Klause,gefang.
1467,Huber,Johann,,1809,12,14,,NULL,bauer,Sillian__Abfaltern,unknown__Lienzer Klause,nahkampf
1468,Mayer,Andreas,,1809,12,1,,NULL,arbeiter,Sillian__Strassen,unknown__Lienzer Klause,erschossen
1469,Pargger,Peter,,1809,12,10,,NULL,bauer,Sillian__Winnebach,unknown__Lienzer Klause,wunde
1470,Pircher,Anton,,1809,12,10,,NULL,bauer,Sillian__Tessenberg,unknown__Lienzer Klause,erschossen
1471,Sommer,Alois,,1809,12,10,,NULL,handwerker,Sillian__unbekannt,unknown__Lienzer Klause,gefang.
1472,Stephinger,Andreas,,1809,12,2,,NULL,arbeiter,Sillian__Abfaltersbach,unknown__Lienzer Klause,erschossen
1473,Tschurtschenthaler,Simon,,1809,12,2,,NULL,bauer,Sillian__Sexten,unknown__Lienzer Klause,gefang.
1474,Wieser,Josef,,1809,12,2,,NULL,bauer,Sillian__Kartitsch,unknown__Lienzer Klause,gefang.
1475,Wieser,Matthäus,,1809,12,2,,NULL,bauer,Sillian__Kartitsch,unknown__Lienzer Klause,gefang.
1476,Wieser,Oswald,,1809,12,2,,NULL,arbeiter,Sillian__Abfaltersbach,unknown__Lienzer Klause,erschossen
1477,Achammer,Josef,,1810,1,4,,NULL,handwerker,Sillian__Sillian ,unknown__Sillian,exekution
1478,Bachmann,Georg,,1810,1,4,,NULL,handwerker,Sillian__Innichen,Sillian__Innichen,exekution
1479,Gasteiger,Josef,,1810,1,4,,NULL,handwerker,Sillian__Panzendorf,unknown__Sillian,exekution
1480,Gutwenger,Franz,,1810,1,4,,NULL,bauer,Sillian__Tessenberg,unknown__Lienzer Klause,gefang.
1481,Jeller,Johann,,1809,12,10,,NULL,bauer,Sillian__Tessenberg,unknown__Lienzer Klause,gefang.
1482,Bachmann,Josef,35,1810,1,4,,NULL,bauer,Sillian__Innichen,Sillian__Innichen,exekution
1483,Kühbacher,Michael,,1809,12,4,,NULL,bauer,Sillian__Innichberg,unknown__Lienzer Klause,gefallen
1484,Lusser,Kaspar,,1809,8,5,,NULL,bauer,Sillian__Tessenberg,Lienz__Amlach,gefang.
1485,Melhofer,Josef,24,1810,1,4,,NULL,handwerker,Sillian__Innichen,Sillian__Innichen,exekution
1486,Miller,Josef,,1809,12,10,,NULL,bauer,Sillian__Arnbach,unknown__Lienzer Klause,wunde
1487,Schmadl,Jakob,21,1810,1,4,,NULL,handwerker,Sillian__Innichen,Sillian__Innichen,exekution
1488,Walder,Paul,,1809,12,10,,NULL,bauer,Sillian__Winnebach,unknown__Lienzer Klause,gefang.
1489,Wurzer,Georg,,1810,1,4,,NULL,bauer,Sillian__Untertassenbach,unknown__Sillian,exekution
1498,Bachlechner,Benedikt,,1809,8,3,,NULL,arbeiter,Lienz__Lienz,Lienz__Lienz,erschossen
1499,Grißmann,Josef,,1809,8,3,,NULL,handwerker,Lienz__Lienz,Lienz__Lienz,erschossen
1500,Klocker,Peter,,1809,8,3,,NULL,arbeiter,Lienz__Lavant,Lienz__Lienz,erschossen
1501,Jester,Paul,62,1809,8,3,,NULL,bauer,Lienz__Gwabl,Lienz__Lienz,erschossen
1502,Unterlechner,Josef,39,1809,8,3,,NULL,handwerker,Lienz__Alkus,Lienz__Lienz,erschossen
1503,Gruber,Andreas,36,1809,8,3,,NULL,bauer,Lienz__Gwabl,Lienz__Lienz,erschossen
1504,Pichler,Veit,36,1809,8,3,,NULL,sonst.,Lienz__Patriasdorf,Lienz__Lienz,exekution
1505,Pedarnig,Michael,34,1809,8,3,,NULL,sonst.,Lienz__Patriasdorf,Lienz__Lienz,exekution
1506,Tabernig,Jakob,,1809,8,4,,NULL,bauer,Lienz__Debantthal,Lienz__Lienz,mord
1507,Zimmerleitner,Martin,,1809,8,8,,NULL,arbeiter,Lienz__Bannberg ,unknown__Leisach,kanone
1508,Winklmair,Georg,56,1809,8,8,,NULL,handwerker,Lienz__Amlach,Lienz__Amlach,erschossen
1509,Mair,Josef,43,1809,8,8,,NULL,bauer,Lienz__Stribach,Lienz__Stribach,erschossen
1510,Stampfer,Peter,43,1809,8,8,,NULL,bauer,Lienz__Göriach,Lienz__Göriach,erschossen
1511,Stanglechner,Alois,,1809,8,8,,NULL,arbeiter,Lienz__Oberaßling,Lienz__Lienz,erschossen
1512,Mitterhauser,Stefan,,1809,8,8,,NULL,arbeiter,Lienz__Ried,unknown__Patraisdorf,gefallen
1513,Zeiner,Bartlme ,,1809,10,19,,NULL,bauer,Lienz__Gainberg,unknown__Sachsenburg,erschossen
1514,Wießgrill,Josef,,1809,10,18,,NULL,arbeiter,Lienz__Dölsach,unknown__Sachsenburg,erschossen
1515,Tabernigg,Matthias,,1809,12,8,,NULL,bauer,Lienz__Alkus,unknown__Lienzer Klause,erschossen
1516,Klocker,Johann,,1809,11,NULL,,NULL,handwerker,Lienz__Tristach,Steinach__Steinach,gefallen
1517,Oblasser,Johann,47,1809,12,29,,NULL,wirt,Lienz__Ainet,Lienz__Ainet,exekution
1518,Warscher,Anton,,1809,1,NULL,,NULL,bauer,Lienz__Kosten,unknown__Taufers,exekution
1519,Mattersberger,Urban,,1809,12,2,,NULL,sonst.,Lienz__Ainet,unknown__Bruneck,wunde
1520,Niederlintner,Thomas,,1809,NULL,NULL,,NULL,handwerker,Windischmatrei__Windischmatrei,unknown__Regulati,erschossen
1521,Lablasser,Lorenz,40,1809,12,8,,NULL,bauer,Windischmatrei__Windischmatrei,Lienz__Ainet,erschossen
1522,Kuchlmayr,Vinzenz,41,1809,12,8,,NULL,bauer,Windischmatrei__Virgen,Lienz__Ainet,erschossen
1523,Weißkopf,Josef,61,1809,12,8,,NULL,bauer,Windischmatrei__Virgen,Lienz__Ainet,erschossen
1525,Lottersberger,,,1809,NULL,NULL,,NULL,bauer,Windischmatrei__Hopfgarten,unknown__Luggau,erschossen
1526,Pall,Josef,,1809,NULL,NULL,,NULL,bauer,Windischmatrei__Kals,Lienz__Lienz,erschossen
1527,Weber,Johann Andreas,31,1809,12,28,,NULL,handwerker,Windischmatrei__Windischmatrei,Windischmatrei__Windischmatrei,exekution
1528,Obersamer,Franz Vinzenz,26,1809,12,28,,NULL,handwerker,Windischmatrei__Windischmatrei,Windischmatrei__Windischmatrei,exekution
1529,Sigmund,Damszen,62,1810,2,2,,NULL,geistlicher,Windischmatrei__Virgen,Lienz__Lienz,exekution
1530,Unterkirchner,Martin,30,1810,2,2,,NULL,geistlicher,Windischmatrei__Virgen,Lienz__Lienz,exekution
1531,Frandl,Franz,31,1809,12,28,,NULL,bauer,Windischmatrei__Mittendorf (Virgen),Windischmatrei__Virgen,exekution
1532,Daxer,Josef ,45,1809,12,30,,NULL,arbeiter,Windischmatrei__Zotten,unknown__Hopfgarten (Defereggen),exekution
1533,Groder,Stefan,30,1809,12,30,,NULL,wirt,Windischmatrei__Kals,Windischmatrei__Kals,exekution
1534,Schuen,Josef,19,1809,5,29,,NULL,bauer,Enneberg__Abtei,Innsbruck__Berg Isel,erschossen
1535,Schuen,Johann Matthias,,1809,6,16,,NULL,bauer,Enneberg__Abtei od. St. Vigil,unknown__Belluno,erschossen
1536,Kastlunger,Franz,,1809,7,16,,NULL,bauer,Enneberg__St. Vigil,Innsbruck__Berg Isel,wunde
1537,Agreiter,Johann Matthias,,1809,8,17,,NULL,arbeiter,Enneberg__St. Martin,unknown__Aquabona,erschossen
1538,Lovisch,Peter,,1809,8,20,,NULL,arbeiter,Enneberg__Zwischenwasser,Windischmatrei__Windischmatrei,erschossen
1539,Ploner,Johann,,1809,9,3,,NULL,bauer,Enneberg__Bach ,unknown__Bruneck,erschossen
1540,Ploner,Johann,,1809,9,15,,NULL,bauer,Enneberg__Bach ,unknown__Bruneck,erschossen
1556,Schuster,Jakob,,1809,4,11,,NULL,bauer,Gossensaß__Pontigl,unknown__unbekannt,erschossen
1557,Weißer,Josef ,,1809,4,11,,NULL,bauer,Gossensaß__unbekannt,unknown__unbekannt,mord
1558,Ueberegger,Georg,78,1809,4,12,,NULL,bauer,Gossensaß__Mauls,unknown__unbekannt,mord
1559,Mayrin,Kreszentia,2,1809,4,11,,NULL,unbekannt,Gossensaß__unbekannt,unknown__unbekannt,mord
1560,Pfitscher,Ferdinand,63,1809,8,6,,NULL,bauer,Gossensaß__Gossensaß (laut Sterebuch),unknown__unbekannt,mord
1571,Goldiner,Josef,45,1809,4,11,,NULL,bauer,Brixen__Vahrn,Innsbruck__Berg Isel,wunde
1584,Peterer,Josef,32,1809,7,27,,NULL,arbeiter,Ainet__Alkus,unknown__unbekannt,wunde
1585,Bauernfeind,Josef,40,1809,12,8,,NULL,bauer,Ainet__Virgen,unknown__unbekannt,gefallen
1586,Stainer,Matthias,45,1809,12,8,,NULL,sonst.,Ainet__Unterlaßnig,unknown__unbekannt,gefallen
1610,Roherer,Thomas,,1809,4,11,,NULL,bauer,Passeier__Thal,Sterzing__Sterzing,gefallen
1611,Zipperle,Johann ,,1809,5,25,,NULL,arbeiter,Passeier__Ried,Innsbruck__Berg Isel,gefallen
1612,Platter,Michael,,1809,5,25,,NULL,arbeiter,Passeier__Platt,Innsbruck__Berg Isel,gefallen
1613,Hofer,Simon,30,1809,5,25,,NULL,arbeiter,Passeier__Stuls,Innsbruck__Berg Isel,gefallen
1614,Raffl,Johann,,1809,5,25,,NULL,arbeiter,Passeier__Prantach,Innsbruck__Berg Isel,gefallen
1615,Pirpamer,Goerg,,1809,5,29,,NULL,arbeiter,Passeier__Ried,Innsbruck__Berg Isel,gefallen
1616,Platter,Josef,,1809,5,NULL,,NULL,arbeiter,Passeier__Flon,unknown__Volders,vermisst
1617,Pixner,Johann,,1809,8,9,,NULL,bauer,Passeier__Flon,Sterzing__Sterzing,gefallen
1618,Prünster,Peter ,,1809,8,9,,NULL,arbeiter,Passeier__Ried,Sterzing__Sterzing,gefallen
1619,Oettl,Franz,,1809,8,9,,NULL,arbeiter,Passeier__Platt,Sterzing__Sterzing,gefallen
1620,Pflueg,Georg,36,1809,8,14,,NULL,arbeiter,Passeier__St. Leonhard,Sterzing__Sterzing,wunde
1621,Pirpamer,Johann,,1809,8,11,,NULL,arbeiter,Passeier__Flon,Innsbruck__Berg Isel,gefallen
1622,Oettl,Johann,20,1809,8,11,,NULL,arbeiter,Passeier__Matatz,Innsbruck__Berg Isel,gefallen
1623,Prünster,Anton,,1809,8,13,,NULL,arbeiter,Passeier__Ried,Innsbruck__Berg Isel,gefallen
1624,Winnebacher,Leonhard,,1809,8,13,,NULL,arbeiter,Passeier__Flon,Innsbruck__Berg Isel,gefallen
1625,Frick,Johann ,,1809,8,13,,NULL,bauer,Passeier__Matatz,Innsbruck__Berg Isel,gefallen
1626,Auer,Andreas ,,1809,11,1,,NULL,arbeiter,Passeier__Walten,Innsbruck__Berg Isel,gefallen
1627,Lanthaler,Johann,,1809,11,8,,NULL,bauer,Passeier__Thal,Steinach__Steinach,gefallen
1628,Marth,Anton ,,1809,11,18,,NULL,bauer,Passeier__Walten,Steinach__Steinach,wunde
1629,Oettl,Michael,32,1809,11,14,,NULL,handwerker,Passeier__Flon,Meran__Riffian,wunde
1630,Prünster,Johann,,1809,11,14,,NULL,arbeiter,Passeier__Matatz,Meran__Riffian,wunde
1631,Gufler,Valentin,,1809,11,16,,NULL,arbeiter,Passeier__Rabenstein,Meran__Meran,gefallen
1632,Grüner,Michael,,1809,11,16,,NULL,bauer,Passeier__Moos,Meran__Meran,gefallen
1633,Plattner,Josef,,1809,11,16,,NULL,arbeiter,Passeier__Flon,Meran__Meran,gefallen
1634,Gufler,Josef,,1809,11,16,,NULL,arbeiter,Passeier__Schathen,Meran__Meran,wunde
1635,Marth,Johann,,1809,11,16,,NULL,bauer,Passeier__Platt,Meran__Meran,gefallen
1636,Klotz,Johann,,1809,11,16,,NULL,bauer,Passeier__St. Leonhard,Meran__Meran,gefallen
1637,Kofler,Johann,,1809,11,16,,NULL,handwerker,Passeier__St. Leonhard,Meran__Meran,gefallen
1638,Heel,Michael,,1809,11,16,,NULL,bauer,Passeier__Ried,Meran__Meran,gefallen
1639,Pult,Johann,46,1809,11,16,,NULL,bauer,Passeier__Ried,Meran__Meran,gefallen
1640,Prünster,Blasius,,1809,11,16,,NULL,arbeiter,Passeier__Ried,Meran__Meran,gefallen
1641,Almberger,Johann,,1809,11,16,,NULL,arbeiter,Passeier__St. Martin,Meran__Meran,gefallen
1642,Mangger,Michael,,1809,11,16,,NULL,arbeiter,Passeier__Moos,Meran__Meran,gefallen
1643,Mosmayr,Anton,50,1809,11,16,,NULL,bauer,Passeier__Moos,Meran__Meran,gefallen
1644,Pfitscher,Johann,25,1809,11,16,,NULL,arbeiter,Passeier__Stuls,Meran__Meran,gefallen
1645,Ennemoser,Johann,,1809,11,18,,NULL,arbeiter,Passeier__Rabenstein,Passeier__St. Leonhard,gefallen
1646,Stoffner,Johann,,1809,11,18,,NULL,bauer,Passeier__Platt,Passeier__St. Leonhard,gefallen
1647,Gegele,Jakob,,1809,11,18,,NULL,handwerker,Passeier__St. Leonhard,Passeier__St. Leonhard,gefallen
1648,Raffl,Josef,,1809,11,18,,NULL,arbeiter,Passeier__Prantach,Passeier__St. Leonhard,gefallen
1649,Lanthaler,Anton,,1809,11,18,,NULL,handwerker,Passeier__St. Martin,Passeier__St. Leonhard,gefallen
1650,Auer,Johann,,1809,11,18,,NULL,arbeiter,Passeier__St. Leonhard,Passeier__St. Leonhard,gefallen
1651,Wilhelm,Andreas,,1809,11,18,,NULL,arbeiter,Passeier__Walten,Passeier__St. Leonhard,gefallen
1652,Gufler,Anton,77,1809,11,18,,NULL,arbeiter,Passeier__Thal,Passeier__St. Leonhard,gefallen
1653,Prünster,Josef,,1809,11,18,,NULL,arbeiter,Passeier__Matatz,Passeier__St. Leonhard,gefallen
1654,Platter,Georg,,1809,11,19,,NULL,handwerker,Passeier__St. Leonhard,Passeier__St. Leonhard,gefallen
1655,Kruselburger,Michael,,1809,11,24,,NULL,handwerker,Passeier__St. Martin,Passeier__St. Leonhard,wunde
1656,Prünster,Peter ,,1809,11,19,,NULL,arbeiter,Passeier__St. Martin,Passeier__St. Leonhard,gefallen
1657,Haller,Michael,,1809,11,19,,NULL,arbeiter,Passeier__Walten,Passeier__St. Leonhard,gefallen
1658,Tschöll,Johann,40,1809,11,19,,NULL,arbeiter,Passeier__St. Leonhard,Passeier__St. Leonhard,gefallen
1659,Hofer,Michael,30,1809,11,21,,NULL,arbeiter,Passeier__St. Leonhard,Passeier__St. Leonhard,gefallen
1660,Platter,Michael,38,1809,11,21,,NULL,arbeiter,Passeier__St. Leonhard,Passeier__St. Leonhard,gefallen
1661,Platter,Franz,30,1809,11,21,,NULL,arbeiter,Passeier__St. Leonhard,Passeier__St. Leonhard,gefallen
1662,Haußer,Josef,,1809,11,30,,NULL,arbeiter,Passeier__St. Leonhard,Passeier__St. Leonhard,wunde
1663,Prünster,Leonhard,,1809,11,21,,NULL,bauer,Passeier__Matatz,Passeier__St. Leonhard,gefallen
1664,Pfitscher,Balthasar,,1809,11,21,,NULL,bauer,Passeier__Walten,Passeier__St. Leonhard,gefallen
1665,Danler,Josef,,1809,11,22,,NULL,arbeiter,Passeier__Moos,Passeier__St. Leonhard,wunde
1666,Kofler,Josef,,1809,11,24,,NULL,arbeiter,Passeier__Pfelders,Passeier__St. Leonhard,wunde
1667,"Hofer,",Andreas v. ,42,1810,2,20,,NULL,wirt,Passeier__am Sand ,unknown__Mantua,exekution
1679,"Stachelburg,",Johann v.,,1809,5,25,,NULL,sonst.,Meran__Meran,Innsbruck__Berg Isel,erschossen
1680,Jäger,Anton,,1809,5,25,,NULL,bauer,Meran__Zenoberg,Innsbruck__Berg Isel,erschossen
1681,Leiter,Johann,40,1809,5,29,,NULL,sonst.,Meran__Meran,Innsbruck__Berg Isel,wunde
1682,Fieg,Johann,,1809,5,29,,NULL,handwerker,Meran__Meran,Innsbruck__Berg Isel,erschossen
1683,Rattinger,Johann,,1809,7,15,,NULL,handwerker,Meran__i. Bayern,Innsbruck__Berg Isel,wunde
1684,Prünster,Josef,,1809,NULL,NULL,,NULL,bauer,Meran__Meran,Meran__Meran,erschossen
1685,Kofler,Martin,,1809,5,25,,NULL,bauer,Meran__Obermais,Innsbruck__Berg Isel,erschossen
1686,Walzl,Valentin,,1809,5,25,,NULL,arbeiter,Meran__Obermais,Innsbruck__Berg Isel,erschossen
1687,Trenkwalder,Joh.,,1809,5,29,,NULL,bauer,Meran__Obermais,Innsbruck__Berg Isel,erschossen
1688,Nocker,Johann,,1809,5,29,,NULL,bauer,Meran__Obermais,Innsbruck__Berg Isel,wunde
1689,Schnitzer,Sebastian,,1809,8,8,,NULL,arbeiter,Meran__Obermais,Sterzing__Telfs,erschossen
1690,Mazze,Josef v. ,,1809,8,23,,NULL,sonst.,Meran__Obermais,Sterzing__Sterzing,gefallen
1691,Geiger,Johann,,1809,10,23,,NULL,wirt,Meran__Untermais,Meran__Untermais,wunde
1692,Prunner,Johann,,1809,10,16,,NULL,arbeiter,Meran__Untermais,Meran__Untermais,nahkampf
1693,Gartner,Josef,,1809,11,16,,NULL,arbeiter,Meran__Untermais,Meran__Mais,mord
1694,Kröß,Sebastian,25,1809,11,20,,NULL,bauer,Meran__Hagen,unknown__Jenesien,wunde
1695,Innerhofer,Johann,,1809,11,20,,NULL,bauer,Meran__Obermais,unknown__Jenesien,mord
1696,Spitaler,Johann,,1809,11,20,,NULL,bauer,Meran__Hagen,unknown__Jenesien,nahkampf
1697,Zagler,Michael,,1809,11,20,,NULL,arbeiter,Meran__Hagen,unknown__Jenesien,wunde
1698,Flarer,Sebastian,25,1809,8,13,,NULL,bauer,Meran__Schönna,Innsbruck__Berg Isel,erschossen
1699,Unterthurner,Joh,40,1809,10,22,,NULL,bauer,Meran__Schönna,unknown__Pressano,erschossen
1700,Kaufmann,Anton,33,1809,11,16,,NULL,bauer,Meran__Schönna,Meran__Meran,erschossen
1701,Gufler,Georg,31,1809,11,16,,NULL,arbeiter,Meran__Schönna,Meran__Meran,erschossen
1702,Mayr,Josef,62,1809,11,16,,NULL,bauer,Meran__Schönna,Meran__Meran,erschossen
1703,Gufler,Sebastian,22,1809,11,16,,NULL,arbeiter,Meran__Schönna,Meran__Meran,erschossen
1704,Stadler,Johann,42,1809,11,16,,NULL,bauer,Meran__Schönna,Meran__Meran,erschossen
1705,Gumpold,Michael,18,1809,11,16,,NULL,arbeiter,Meran__Thal,Meran__Meran,erschossen
1706,Bacher,Georg,,1809,11,16,,NULL,bauer,Meran__Thal,Meran__Meran,erschossen
1707,Alber,Josef,32,1809,11,16,,NULL,geistlicher,Meran__Schönna,Meran__Meran,wunde
1708,Laimer,Nikolaus,,1809,8,9,,NULL,bauer,Meran__Kuens,Sterzing__Sterzing,erschossen
1709,Pircher,Peter ,,1809,11,NULL,,NULL,bauer,Meran__Kuens,Meran__Riffian,erschossen
1710,Christanell,Valentin,,1809,11,NULL,,NULL,arbeiter,Meran__Mais,Passeier__St. Leonhard,verbrannt
1711,Hörmann,Johann,36,1809,6,2,,NULL,bauer,Meran__Meran,Steinach__Matrei,erschossen
1712,Gufler,Blaisus,,1809,8,13,,NULL,arbeiter,Meran__Riffian,Innsbruck__Berg Isel,erschossen
1713,Götsch,Peter,,1809,NULL,NULL,,NULL,bauer,Meran__Meran,unknown__unbekannt,gefallen
1714,Heurer,Anton,,1809,NULL,NULL,,NULL,bauer,Meran__Meran,unknown__unbekannt,gefallen
1715,Pixner,Josef,,1809,11,16,,NULL,bauer,Meran__Meran,Meran__Meran,erschossen
1716,Pircher,Andrä,,1809,11,16,,NULL,arbeiter,Meran__Meran,Meran__Meran,erschossen
1717,Kröß,Peter,,1809,11,16,,NULL,arbeiter,Meran__Meran,Meran__Meran,erschossen
1718,Hofer,Franz,,1809,11,16,,NULL,bauer,Meran__Meran,Meran__Algund,nahkampf
1719,Hofer,Johann,,1809,11,16,,NULL,sonst.,Meran__Meran,Meran__Gratsch,nahkampf
1720,Stocker,Johann,,1809,11,16,,NULL,bauer,Meran__Meran,Meran__Meran,mord
1721,Tersch,Johann,,1809,11,16,,NULL,bauer,Meran__Meran,Meran__Meran,nahkampf
1722,Pamer,Johann,,1809,11,16,,NULL,bauer,Meran__Meran,Meran__Meran,mord
1723,Haller,Josef,,1809,11,16,,NULL,bauer,Meran__Meran,Meran__Meran,mord
1724,Zeisolt,Matthias,,1809,11,16,,NULL,sonst.,Meran__Meran,Meran__Meran,erschossen
1725,Pamer,Matthias,,1809,11,16,,NULL,sonst.,Meran__Meran,Meran__Meran,erschossen
1726,Niederhofer,Josef,,1809,11,16,,NULL,arbeiter,Meran__Meran,Meran__Meran,erschossen
1728,Parth,Melchior,,1809,11,16,,NULL,unbekannt,Meran__Eyrs,Meran__Meran,mord
1729,Stainer,Matthias,,1809,11,16,,NULL,unbekannt,Meran__Kortsch,Meran__Meran,mord
1730,Santer,Urban,,1809,11,16,,NULL,unbekannt,Meran__Naturns,Meran__Meran,mord
1731,Pircher,Johann,,1809,11,16,,NULL,sonst.,Meran__Naturns,Meran__Meran,mord
1732,Almberger,Johann,,1809,11,16,,NULL,unbekannt,Meran__Algund,Meran__Meran,mord
1733,Haller,Friedrich,,1809,11,19,,NULL,bauer,Meran__Meran,Passeier__St. Leonhard,erschossen
1734,Kuen,Franz,36,1809,11,16,,NULL,bauer,Meran__Gratsch,Meran__Meran,erschossen
